Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","9,753.50","9,889.05","9,731.50","9,859.90","306.55","3.21","9,311.72","39,332.06","12,430.50","7,511.10","-16.07","19.07"
"TATAMOTORS","85.95","93.75","85.95","93.75","15.60","19.96","1,706.45","1,523.35","218.65","63.50","-56.25","37.56"
"UPL","367.25","429.35","364.05","413.00","52.40","14.53","182.24","720.26","709.05","240.15","-57.39","33.90"
"ONGC","72.60","81.05","71.50","79.75","9.25","13.12","542.95","411.83","178.90","50.00","-52.87","25.89"
"VEDL","82.00","91.00","81.50","88.80","9.65","12.19","636.87","545.99","180.00","60.20","-46.78","44.27"
"HINDALCO","120.00","132.20","119.50","130.00","13.70","11.78","459.94","578.79","221.20","84.90","-36.91","46.40"
"JSWSTEEL","168.60","188.70","167.50","182.00","17.90","10.91","160.24","279.36","314.00","132.50","-40.98","27.81"
"HCLTECH","506.50","565.50","501.00","545.00","53.25","10.83","80.36","423.89","623.50","375.25","-53.94","30.07"
"HEROMOTOCO","2,017.10","2,198.10","1,975.00","2,153.00","182.75","9.28","27.87","588.34","3,022.90","1,475.00","-14.29","38.59"
"INFRATEL","163.00","175.80","162.15","174.25","11.25","6.90","56.71","96.68","296.50","120.05","-33.63","12.35"
"GAIL","91.50","96.55","91.30","94.85","5.75","6.45","184.95","173.47","182.70","65.00","-73.35","33.87"
"COALINDIA","141.50","149.45","141.35","148.80","8.95","6.40","131.46","191.84","271.45","119.20","-40.99","11.75"
"NTPC","91.35","97.00","90.40","95.95","5.75","6.37","151.51","141.45","145.85","73.20","-28.42","17.37"
"TCS","1,980.00","2,032.00","1,942.20","2,019.55","113.90","5.98","59.16","1,176.97","2,296.20","1,506.05","-10.65","13.55"
"WIPRO","185.00","192.60","183.55","191.15","10.50","5.81","88.34","166.24","301.60","159.40","-35.97","3.80"
"INFY","700.00","720.00","698.10","715.05","38.50","5.69","162.54","1,156.41","847.00","509.25","-4.83","14.10"
"M&M","355.65","368.00","355.00","367.55","19.55","5.62","74.23","270.01","683.00","245.40","-43.04","33.95"
"MARUTI","5,122.00","5,425.00","5,122.00","5,343.00","274.55","5.42","23.41","1,248.22","7,758.70","4,001.10","-19.85","23.44"
"TATASTEEL","289.95","304.50","288.70","297.55","14.90","5.27","236.36","702.65","561.65","250.85","-46.60","17.12"
"BAJAJ-AUTO","2,525.10","2,654.00","2,510.15","2,623.80","124.65","4.99","11.19","290.96","3,315.15","1,788.65","-12.07","32.07"
"TITAN","935.20","978.95","929.00","967.80","42.40","4.58","43.36","418.11","1,389.95","720.90","-16.46","2.56"
"IOC","81.55","84.50","81.30","84.15","3.65","4.53","211.94","175.65","170.75","74.45","-46.76","9.57"
"HDFC","1,857.00","1,927.00","1,855.50","1,916.15","79.40","4.32","82.37","1,560.73","2,499.90","1,473.45","-3.95","22.93"
"BHARTIARTL","503.10","515.95","495.20","514.55","18.55","3.74","197.99","1,001.84","568.85","312.60","60.65","19.37"
"TECHM","541.00","552.90","532.35","545.95","17.25","3.26","89.32","484.79","846.50","471.40","-34.70","3.64"
"BPCL","364.25","373.40","358.00","371.85","11.10","3.08","80.08","291.95","549.00","252.00","-2.11","35.34"
"POWERGRID","159.60","163.45","157.20","162.90","4.85","3.07","105.21","169.49","216.25","122.15","-12.61","4.66"
"ULTRACEMCO","3,470.00","3,565.95","3,446.15","3,532.00","97.65","2.84","8.54","300.28","4,904.95","2,910.00","-23.50","14.46"
"RELIANCE","1,453.95","1,494.95","1,438.05","1,464.00","37.05","2.60","326.18","4,787.92","1,617.55","875.65","5.11","42.07"
"LT","890.20","916.80","884.10","897.95","22.60","2.58","63.33","571.73","1,607.00","661.00","-33.41","12.43"
"HDFCBANK","1,001.40","1,019.00","992.10","1,000.00","22.90","2.34","218.98","2,203.01","1,305.50","738.75","-56.85","20.24"
"NESTLEIND","17,700.00","18,000.00","17,512.00","17,899.00","409.30","2.34","1.58","281.32","18,369.95","10,120.05","64.13","14.31"
"EICHERMOT","14,580.20","14,900.00","14,402.00","14,650.00","334.25","2.33","3.47","508.70","23,450.00","12,450.10","-28.07","9.88"
